file_path,last_folder
..\podaci\text-to-speech\Sentences\da da tako smo se dogovrili.wav,0
..\podaci\text-to-speech\Sentences\demonstracije su opet počele.wav,0
..\podaci\text-to-speech\Sentences\dok se saginjao umalo ga ne zgazi ljubin ford.wav,0
..\podaci\text-to-speech\Sentences\doveče je žurka kod komšija.wav,0
..\podaci\text-to-speech\Sentences\doćiće nam mirko na ručak.wav,0
..\podaci\text-to-speech\Sentences\dugo vremena nismo ovde bili.wav,0
..\podaci\text-to-speech\Sentences\gotovo je sve možete početi sa pričom.wav,0
..\podaci\text-to-speech\Sentences\imamo još četiri minuta vremena do polaska voza.wav,0
..\podaci\text-to-speech\Sentences\javio se i otišao je na aerodrom.wav,0
..\podaci\text-to-speech\Sentences\još malo pa će izbori.wav,0
..\podaci\text-to-speech\Sentences\kada se vratim sa posla svratiću do tebe.wav,0
..\podaci\text-to-speech\Sentences\kada završi sa sastankom javiće nam rezultate.wav,0
..\podaci\text-to-speech\Sentences\kompjuteri su prodrli u sve oblasti i bez njih se ne može.wav,0
..\podaci\text-to-speech\Sentences\krećemo za pet minuta.wav,0
..\podaci\text-to-speech\Sentences\malo pre sam se čuo sa njim i on mi je sve ispričao.wav,0
..\podaci\text-to-speech\Sentences\milan je ušao u voz nekoliko minuta pre nas.wav,0
..\podaci\text-to-speech\Sentences\mirjana je rekla da će se uskoro vratiti.wav,0
..\podaci\text-to-speech\Sentences\moj sin ide prvi put sam na more.wav,0
..\podaci\text-to-speech\Sentences\moja karta važi još dva dana.wav,0
..\podaci\text-to-speech\Sentences\na mlade najviše uticaja imaju lica sa estrade kao i iz sporta.wav,0
..\podaci\text-to-speech\Sentences\na more idemo u isto mesto kao i prošle godine.wav,0
..\podaci\text-to-speech\Sentences\na slavi ćemo imati preko 50 gostiju.wav,0
..\podaci\text-to-speech\Sentences\nadam se.wav,0
..\podaci\text-to-speech\Sentences\naoblačilo se kao da će padati kiša.wav,0
..\podaci\text-to-speech\Sentences\napisaću mu pismo.wav,0
..\podaci\text-to-speech\Sentences\nazvaću te ponovo otprilike za sat vremena.wav,0
..\podaci\text-to-speech\Sentences\naša kola su stara 10 godina.wav,0
..\podaci\text-to-speech\Sentences\ne idem danas u školu.wav,0
..\podaci\text-to-speech\Sentences\nismo u kontaktu više od godinu dana.wav,0
..\podaci\text-to-speech\Sentences\o toj aferi novine su pisale danima.wav,0
..\podaci\text-to-speech\Sentences\od sutra smo sami u kući.wav,0
..\podaci\text-to-speech\Sentences\opet je pijaca poskupela.wav,0
..\podaci\text-to-speech\Sentences\otišao je u inostranstvo prošle godine i još se nije vartio.wav,0
..\podaci\text-to-speech\Sentences\otišao je u inostranstvo prošle godine i još se nije vratio.wav,0
..\podaci\text-to-speech\Sentences\otvara se igraonica prekoputa naše zgrade.wav,0
..\podaci\text-to-speech\Sentences\ovi klinci su nemogući niko ih ne može obuzdati.wav,0
..\podaci\text-to-speech\Sentences\petar će doći u ponedeljak.wav,0
..\podaci\text-to-speech\Sentences\pojavio se u poslednjem trenutku.wav,0
..\podaci\text-to-speech\Sentences\popeću se na drvo ako me mama ne vidi.wav,0
..\podaci\text-to-speech\Sentences\preko leta ću biti u beogradu.wav,0
..\podaci\text-to-speech\Sentences\prelazio je ulicu naspram one tek renovirane buregdzinice.wav,0
..\podaci\text-to-speech\Sentences\premijer je obećao viši standard.wav,0
..\podaci\text-to-speech\Sentences\prespavaću ceo dan.wav,0
..\podaci\text-to-speech\Sentences\raspitaću se pa ću ti javiti.wav,0
..\podaci\text-to-speech\Sentences\samo što sam stigao odmah sam morao da odem na sastanak.wav,0
..\podaci\text-to-speech\Sentences\sanjao sam te pre neku noć.wav,0
..\podaci\text-to-speech\Sentences\sećam se kad je ulicom kneza miloša saobraćao tramvaj.wav,0
..\podaci\text-to-speech\Sentences\strpi se još malo samo što nismao stigli.wav,0
..\podaci\text-to-speech\Sentences\sutra je doček nove godine.wav,0
..\podaci\text-to-speech\Sentences\sutra se završava školska godina.wav,0
..\podaci\text-to-speech\Sentences\sutra će biti 27 u hladu.wav,0
..\podaci\text-to-speech\Sentences\sutra ćemo sve raditi ponovo pa šta ispadne.wav,0
..\podaci\text-to-speech\Sentences\taman sam krenula da učim a on me pozvao.wav,0
..\podaci\text-to-speech\Sentences\telefoni zvone po ceo dan i tebe traže.wav,0
..\podaci\text-to-speech\Sentences\u braku smo već devet godina.wav,0
..\podaci\text-to-speech\Sentences\u ponedeljak putujem na frušku goru.wav,0
..\podaci\text-to-speech\Sentences\upravo su mi javili da treba da dođem sutra.wav,0
..\podaci\text-to-speech\Sentences\uvek se setim tebe kad čujem tu pesmu.wav,0
..\podaci\text-to-speech\Sentences\večeras mora da donese odluku o njegovoj smeni.wav,0
..\podaci\text-to-speech\Sentences\večeras najavljuju padavine.wav,0
..\podaci\text-to-speech\Sentences\vratiću se brzo .wav,0
..\podaci\text-to-speech\Sentences\za dva dana počinje škola.wav,0
..\podaci\text-to-speech\Sentences\za osam minuta počinje predstava.wav,0
..\podaci\text-to-speech\Sentences\znam znam pa meni je 100 puta pričao.wav,0
..\podaci\text-to-speech\Sentences\čim mu plate on će doneti robu.wav,0
