file_path,last_folder
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\da da tako smo se dogovrili.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\demonstracije su opet počele.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\dok se saginjao umalo ga ne zgazi ljubin ford.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\doveče je žurka kod komšija.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\doćiće nam mirko na ručak.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\dugo vremena nismo ovde bili.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\gotovo je sve možete početi sa pričom.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\imamo još četiri minuta vremena do polaska voza.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\javio se i otišao je na aerodrom.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\još malo pa će izbori.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\kada se vratim sa posla svratiću do tebe.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\kada završi sa sastankom javiće nam rezultate.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\kompjuteri su prodrli u sve oblasti i bez njih se ne može.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\krećemo za pet minuta.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\malo pre sam se čuo sa njim i on mi je sve ispričao.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\milan je ušao u voz nekoliko minuta pre nas.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\mirjana je rekla da će se uskoro vratiti.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\moj sin ide prvi put sam na more.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\moja karta važi još dva dana.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\na mlade najviše uticaja imaju lica sa estrade kao i iz sporta.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\na more idemo u isto mesto kao i prošle godine.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\na slavi ćemo imati preko 50 gostiju.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\nadam se.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\naoblačilo se kao da će padati kiša.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\napisaću mu pismo.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\nazvaću te ponovo otprilike za sat vremena.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\naša kola su stara 10 godina.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\ne idem danas u školu.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\nismo u kontaktu više od godinu dana.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\o toj aferi novine su pisale danima.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\od sutra smo sami u kući.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\opet je pijaca poskupela.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\otišao je u inostranstvo prošle godine i još se nije vartio.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\otišao je u inostranstvo prošle godine i još se nije vratio.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\otvara se igraonica prekoputa naše zgrade.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\ovi klinci su nemogući niko ih ne može obuzdati.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\petar će doći u ponedeljak.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\pojavio se u poslednjem trenutku.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\popeću se na drvo ako me mama ne vidi.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\preko leta ću biti u beogradu.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\prelazio je ulicu naspram one tek renovirane buregdzinice.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\premijer je obećao viši standard.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\prespavaću ceo dan.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\raspitaću se pa ću ti javiti.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\samo što sam stigao odmah sam morao da odem na sastanak.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\sanjao sam te pre neku noć.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\sećam se kad je ulicom kneza miloša saobraćao tramvaj.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\strpi se još malo samo što nismao stigli.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\sutra je doček nove godine.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\sutra se završava školska godina.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\sutra će biti 27 u hladu.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\sutra ćemo sve raditi ponovo pa šta ispadne.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\taman sam krenula da učim a on me pozvao.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\telefoni zvone po ceo dan i tebe traže.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\u braku smo već devet godina.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\u ponedeljak putujem na frušku goru.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\upravo su mi javili da treba da dođem sutra.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\uvek se setim tebe kad čujem tu pesmu.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\večeras mora da donese odluku o njegovoj smeni.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\večeras najavljuju padavine.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\vratiću se brzo .wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\za dva dana počinje škola.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\za osam minuta počinje predstava.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\znam znam pa meni je 100 puta pričao.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 0\čim mu plate on će doneti robu.wav,0
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 1\da da tako smo se dogovrili.wav,1
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 1\demonstracije su opet počele.wav,1
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 1\dok se saginjao umalo ga ne zgazi ljubin ford.wav,1
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 1\doveče je žurka kod komšija.wav,1
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 1\doćiće nam mirko na ručak.wav,1
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 1\dugo vremena nismo ovde bili.wav,1
..\podaci\text-to-speech\GPT-2\Sentences\Sentences 1\gotovo je sve možete početi sa pričom.wav,1
