file_path,last_folder
data_mono\1046\1\2_1_1_mvmk10n__17-04-21-08-40-06.wav,1
data_mono\1009\1\2_1_0_mvmd17n__03-04-21-11-59-55.wav,1
data_mono\1034\0\1_0_0_MMMD14L__15-04-21-05-06-54.wav,0
data_mono\0003\0\1_0_0_MMMD18L__28-02-21-04-17-44.wav,0
data_mono\0005\0\1_0_1_MMMK13L__01-03-21-06-24-08.wav,0
data_mono\1034\1\2_1_1_mvmk19n__12-04-21-02-39-43.wav,1
data_mono\1037\1\2_1_0_mvmd25n__15-04-21-02-18-38.wav,1
data_mono\1058\1\2_1_1_mvmk16n__28-04-21-05-56-34.wav,1
data_mono\1012\2\3_2_0_okzd09r__04-04-21-05-59-53.wav,2
data_mono\1038\3\5_3_1_SZZK10S__20-04-21-10-14-05.wav,3
data_mono\1033\1\2_1_1_mvmk19n__10-04-21-11-22-54.wav,1
data_mono\1008\1\2_1_1_mvmk05n__03-04-21-10-04-07.wav,1
data_mono\0001\3\5_3_0_SZZD17S__25-02-21-10-53-55.wav,3
data_mono\1023\3\5_3_0_SZZD14S__07-04-21-05-17-17.wav,3
data_mono\0003\1\2_1_1_mvmk01n__28-02-21-03-25-20.wav,1
data_mono\1016\0\1_0_0_MMMD29L__29-04-21-03-27-48.wav,0
data_mono\1007\0\1_0_0_MMMD16L__02-04-21-07-06-57.wav,0
data_mono\1004\3\5_3_1_SZZK28S__15-03-21-07-03-06.wav,3
data_mono\1062\2\3_2_0_okzd09r__07-05-21-10-39-42.wav,2
data_mono\1003\1\2_1_1_mvmk22n__07-03-21-09-27-13.wav,1
data_mono\1011\3\5_3_0_SZZD02S__04-04-21-03-53-55.wav,3
data_mono\0001\2\3_2_1_okzk06r__25-02-21-10-24-44.wav,2
data_mono\0006\2\3_2_1_okzk12r__01-03-21-09-58-54.wav,2
data_mono\1039\1\2_1_1_mvmk17n__15-04-21-07-15-00.wav,1
data_mono\1030\2\3_2_0_okzd06r__09-04-21-08-26-55.wav,2
data_mono\1053\3\5_3_0_SZZD32S__19-04-21-05-29-40.wav,3
data_mono\0003\4\4_4_1_SKMK03T__28-02-21-04-03-23.wav,4
data_mono\1062\4\4_4_1_SKMK23T__07-05-21-11-15-32.wav,4
data_mono\1008\0\1_0_1_MMMK13L__03-04-21-12-51-48.wav,0
data_mono\1037\2\3_2_1_okzk17r__15-04-21-03-25-53.wav,2
data_mono\1003\3\5_3_0_SZZD02S__07-03-21-10-01-29.wav,3
data_mono\1062\2\3_2_1_okzk05r__07-05-21-10-45-46.wav,2
data_mono\0001\0\1_0_1_MMMK15L__25-02-21-10-39-57.wav,0
data_mono\1038\3\5_3_1_SZZK09S__20-04-21-10-13-55.wav,3
data_mono\1009\2\3_2_0_okzd06r__03-04-21-12-12-30.wav,2
data_mono\1034\2\3_2_0_okzd29r__12-04-21-02-58-33.wav,2
data_mono\1060\0\1_0_1_MMMK29L__03-05-21-10-53-15.wav,0
data_mono\1028\1\2_1_1_mvmk30n__09-04-21-08-52-17.wav,1
data_mono\1005\2\3_2_0_okzd01r__30-03-21-01-58-02.wav,2
data_mono\1023\4\4_4_1_SKMK30T__07-04-21-07-48-00.wav,4
data_mono\1060\3\5_3_1_SZZK04S__03-05-21-10-13-29.wav,3
data_mono\0002\0\1_0_0_MMMD22L__25-02-21-02-53-42.wav,0
data_mono\1015\1\2_1_0_mvmd03n__05-04-21-10-12-13.wav,1
data_mono\1053\4\4_4_0_SKMD05T__19-04-21-05-39-17.wav,4
data_mono\1007\2\3_2_1_okzk15r__02-04-21-04-22-34.wav,2
data_mono\1038\3\5_3_0_SZZD21S__20-04-21-10-09-20.wav,3
data_mono\1003\3\5_3_1_SZZK02S__07-03-21-10-10-49.wav,3
data_mono\1012\0\1_0_0_MMMD18L__04-04-21-06-51-57.wav,0
data_mono\1061\1\2_1_0_mvmd13n__04-05-21-11-16-46.wav,1
data_mono\1039\4\4_4_1_SKMK24T__19-04-21-05-54-05.wav,4
data_mono\1036\4\4_4_0_SKMD05T__13-04-21-12-58-22.wav,4
data_mono\0003\0\1_0_0_MMMD19L__28-02-21-04-17-59.wav,0
data_mono\0003\1\2_1_1_mvmk25n__28-02-21-03-30-43.wav,1
data_mono\1017\3\5_3_0_SZZD08S__06-04-21-11-43-14.wav,3
data_mono\1034\1\2_1_1_mvmk21n__12-04-21-02-40-27.wav,1
data_mono\1015\3\5_3_1_SZZK24S__23-04-21-12-40-03.wav,3
data_mono\1006\1\2_1_1_mvmk20n__15-04-21-05-56-56.wav,1
data_mono\1012\3\5_3_1_SZZK29S__04-04-21-06-47-50.wav,3
data_mono\1006\2\3_2_1_okzk29r__15-04-21-06-12-20.wav,2
data_mono\1044\2\3_2_0_okzd32r__19-04-21-10-30-29.wav,2
data_mono\1014\1\2_1_0_mvmd11n__05-04-21-08-23-37.wav,1
data_mono\1008\1\2_1_1_mvmk16n__03-04-21-10-06-02.wav,1
data_mono\1024\1\2_1_0_mvmd29n__07-04-21-04-35-07.wav,1
data_mono\1053\2\3_2_0_okzd14r__19-04-21-01-25-07.wav,2
data_mono\1030\1\2_1_1_mvmk27n__09-04-21-08-19-33.wav,1
data_mono\1053\0\1_0_0_MMMD20L__19-04-21-08-13-47.wav,0
data_mono\1003\4\4_4_1_SKMK12T__07-03-21-10-49-39.wav,4
data_mono\0006\4\4_4_0_SKMD07T__01-03-21-10-17-59.wav,4
data_mono\0005\1\2_1_0_mvmd20n__01-03-21-10-41-41.wav,1
data_mono\1012\4\4_4_0_SKMD27T__04-04-21-06-23-39.wav,4
data_mono\0006\1\2_1_0_mvmd28n__01-03-21-09-38-55.wav,1
data_mono\1040\1\2_1_0_mvmd20n__15-04-21-08-12-18.wav,1
data_mono\1058\2\3_2_1_okzk27r__28-04-21-06-17-02.wav,2
data_mono\1005\1\2_1_1_mvmk10n__17-03-21-12-26-43.wav,1
data_mono\1030\0\1_0_0_MMMD32L__09-04-21-09-16-46.wav,0
data_mono\1011\4\4_4_0_SKMD06T__06-04-21-10-28-23.wav,4
data_mono\1053\2\3_2_0_okzd21r__19-04-21-01-27-22.wav,2
data_mono\1061\2\3_2_1_okzk13r__04-05-21-01-36-29.wav,2
data_mono\1005\0\1_0_1_MMMK19L__30-03-21-02-55-23.wav,0
data_mono\1012\3\5_3_1_SZZK03S__04-04-21-06-42-12.wav,3
data_mono\1025\1\2_1_0_mvmd29n__10-04-21-08-29-06.wav,1
data_mono\1025\1\2_1_1_mvmk26n__15-04-21-06-48-48.wav,1
data_mono\1038\3\5_3_0_SZZD22S__20-04-21-10-09-34.wav,3
