word,freq
.,6438580
",",5916591
biti,5835707
u,4289454
i,2848044
"""",2135287
(,1768949
),1765962
na,1602609
sebe,1544095
od,1078904
godina,1038137
naselje,1032810
koji,961809
da,836448
za,769618
iz,721166
sa,702889
država,662578
savezni,610110
meksiko,545384
stanovnik,526500
:,487174
a,483026
nalaziti,439907
opština,437982
prema,426164
kao,404124
taj,400442
živeti,384133
on,372934
везе,370817
спољашње,370319
-,359652
podatak,351034
ovaj,327625
још,320623
види,320491
visina,319103
nadmorski,306333
po,300766
m.,296866
imati,284018
do,278762
velik,277950
2010.,262610
grad,257516
становништво,248019
svoj,234333
što,231061
prvi,230461
jedan,230325
drugi,217032
meksički,207959
ili,203845
—,196236
moći,193193
o,184163
okrug,167709
broj,167040
deo,163448
nov,162134
mnogo,161941
de,161133
njegov,159203
srpski,155601
mesto,152729
oni,144624
ali,140764
el,140687
nakon,130157
;,129580
dva,125034
la,123167
sav,122797
kod,122791
san,121908
ne,120507
srbija,110367
kada,108527
beograd,108012
vreme,106979
oko,106421
popis,103875
2011.,102684
sad,102353
rat,102273
the,99078
–,99071
tokom,98431
pod,98064
”,96360
vek,95127
koristiti,94928
1,93674
%,90846
put,90418
zbog,90074
stanovništvo,88305
/,87864
neki,87202
gde,87105
svet,86676
američki,86324
poznat,86012
procena,85653
republika,84192
of,83193
grupa,82301
zemlja,81874
dok,81433
vrsta,81325
hteti,80522
svetski,79430
još,79420
samo,79033
dan,79017
region,78952
iznositi,78413
takođe,78205
strana,77992
između,77478
2,77217
italija,75596
m,75284
kako,74470
tako,73104
sistem,71904
dobar,71829
ime,71275
njen,70435
kraj,70086
glavni,69968
rad,69668
star,69345
film,69109
postati,68709
član,68677
čovek,67880
posle,67763
jezik,67752
crkva,66148
and,65795
njihov,65071
tri,64456
postojati,64331
škola,63851
objekt,62675
prvenstvo,61592
mali,60209
3,59847
selo,59037
kasno,58603
spisak,58198
dobiti,58019
nego,57553
sve,57210
isti,56809
raditi,56299
francuska,55895
4,54908
pesma,54654
narodni,54621
pa,54554
protiv,54406
sezona,54327
centar,53833
nekoliko,53374
svaki,53159
ngc,53135
pre,52610
ati,52548
jer,52516
nacionalan,52454
mapa,52304
knjiga,52176
metar,51983
život,51722
bez,51708
oblast,51614
stranica,51341
površina,51107
km,51009
los,50595
period,49881
baza,49789
preko,49674
vojska,49335
često,49281
osvojiti,49025
nemački,48750
početi,48387
mnogi,47430
predstavljati,47325
već,47106
rezultat,46896
malo,46780
reka,46332
porodica,46214
jugoslavija,46202
kralj,46109
sam,46032
visok,45904
žena,45795
smatrati,45606
sajt,45344
5,45022
1.,44840
područje,44791
литература,44619
kuća,44552
klub,44438
danas,44076
crn,44053
igrati,43895
učestvovati,43692
poslednji,43545
srednji,43523
severni,43130
južan,42854
plan,42789
nagrada,42721
liga,42472
oblik,42181
km²,42096
uz,41722
sledeći,41633
и,41629
međutim,41220
objaviti,41207
naziv,41106
avgust,41073
evropski,40980
tada,40898
10,40832
демографија,40646
veza,40452
organizacija,40005
2005.,39852
maj,39791
zvaničan,39713
'',39709
igra,39688
2000.,39554
sin,39300
katalog,39149
snaga,39043
završiti,38953
borba,38898
septembar,38813
odnos,38723
kroz,38522
jul,38488
oktobar,38134
različit,38080
među,38029
vojni,38006
predsednik,37986
istorija,37972
ic,37821
decenija,37815
vlast,37699
čiji,37487
pored,37480
iako,37471
način,37388
mart,37255
voda,37113
uloga,37103
osnovan,37083
vlada,36981
6,36905
in,36739
asteroid,36648
pravo,36293
album,36244
doći,36187
jun,36167
morati,36155
srbin,36151
verakruz,36073
ostali,36038
roditi,36018
značenje,36013
univerzitet,35981
las,35926
sastav,35868
april,35854
treći,35768
činiti,35477
lista,35422
ostrvo,35402
pripadati,35357
osnovati,35255
2.,34733
2002.,34691
ako,34617
trebati,34603
januar,34587
uključivati,34159
novembar,34140
decembar,33988
serija,33934
politički,33870
održati,33822
jedinica,33327
2012.,33042
početak,33013
većina,32933
značajan,32697
kultura,32585
del,32386
razvoj,32316
avion,32198
red,32127
zajedno,32087
pri,32001
20,31909
utakmica,31831
gora,31765
mlad,31639
društvo,31597
veoma,31560
smrt,31545
narod,31492
sadržati,31405
slučaj,31300
zapadni,31266
ruski,31216
teritorija,31020
četiri,30923
hrvatska,30633
program,30588
prostor,30518
takmičenje,30423
čijapas,30353
prosečan,30328
p.,30252
voditi,30160
ostati,30102
istočni,30004
dati,30002
primer,29991
3.,29928
reč,29677
8,29658
kup,29642
santa,29571
united,29456
savez,29389
bosna,29211
crven,29202
februar,29185
međunarodni,29127
državni,29030
states,28991
status,28943
magnituda,28889
tim,28787
reprezentacija,28690
manastir,28690
francuski,28656
rumunija,28460
postaviti,28307
census,28232
bureau,28214
general,28133
šta,28000
napad,27943
1991.,27826
vratiti,27797
opšti,27762
evropa,27751
blizak,27616
funkcija,27568
fakultet,27525
zatim,27505
veličina,27499
videti,27490
car,27489
4.,27431
gustina,27429
olimpijski,27410
gornji,27316
7,27309
važan,27225
s.,27017
20.,27003
departman,26893
catalogue,26853
ii,26853
otac,26781
n.,26761
e.,26748
administrativan,26737
naseliti,26658
cilj,26566
izvor,26450
onaj,26265
simbad,26220
umetnost,26124
odnosno,26030
uglavnom,25842
zakon,25737
mapquest,25672
19.,25579
12,25569
problem,25559
masa,25502
ponovo,25381
spomenik,25293
delo,25279
formirati,25160
rančo,25153
izbor,25014
igrač,24805
°,24703
nemačka,24633
telo,24611
jugoslovenski,24591
pomoć,24501
određen,24473
mesec,24412
naseljen,24208
stanje,24180
5.,24178
bivši,24170
new,24068
polje,24068
vrednost,24047
milion,23980
slika,23932
daleko,23871
zavod,23866
bolest,23848
rusija,23716
nad,23590
proces,23565
pravoslavan,23475
okvir,23470
položaj,23364
uspeti,23275
centralan,23227
hercegovina,23185
posao,23169
obala,23157
историја,23154
tok,23126
brod,23121
6.,23117
jezero,23110
dug,23099
carstvo,23046
boja,22975
karijera,22951
medalja,22940
pobeda,22887
muzej,22886
napisati,22745
nazivati,22724
uticaj,22712
marija,22658
brojan,22656
govoriti,22624
granica,22548
tip,22487
15,22443
pošto,22406
planina,22342
engleski,22328
2014.,22306
gradski,22168
izabrati,22158
institut,22143
insee,22037
zgrada,22029
zlatan,21998
100,21983
sovjetski,21980
dolaziti,21975
ka,21917
početkom,21842
osoba,21820
7.,21817
cel,21806
posebno,21805
h,21771
priča,21766
muškarac,21746
zaštita,21703
čak,21629
današnji,21621
ni,21619
umreti,21575
pravac,21555
10.,21514
nemati,21511
promena,21501
halisko,21404
jovan,21403
istorijski,21395
pokret,21376
čivava,21374
nastati,21374
9,21370
nivo,21348
takav,21321
slobodan,21266
nositi,21212
luis,20999
pet,20983
stalan,20876
naći,20771
postajati,20731
oahaka,20678
zvezda,20676
obično,20573
titula,20556
rimski,20475
15.,20401
krajem,20322
pitanje,20295
kulturan,20294
linija,20288
upotreba,20255
muzika,20149
politika,20142
deca,20127
ubiti,20079
nastaviti,20074
baviti,20057
razlika,20042
astronomski,20017
nauka,19961
30,19881
prirodan,19855
britanski,19806
težak,19740
posedovati,19723
nizak,19698
11,19696
dubok,19616
9.,19539
majka,19515
8.,19508
istraživanje,19505
bitka,19505
skupština,19494
partija,19464
zajednica,19455
roman,19427
poseban,19295
divizija,19282
osnov,19279
muzički,19278
dobro,19275
konferencija,19230
pisati,19201
18.,19166
enzim,19163
uslov,19050
finale,19039
potom,19019
napraviti,18998
niz,18971
oznaka,18932
središte,18923
lokalan,18881
grčki,18874
luka,18859
ran,18834
=,18823
doba,18813
makedonija,18779
list,18773
12.,18771
proizvodnja,18766
dostupan,18764
jedini,18735
stranka,18695
dovesti,18629
razni,18623
kratak,18584
poreklo,18559
ekipa,18547
2008.,18529
beo,18470
kad,18468
spoljašnji,18421
otkriti,18415
2006.,18410
ipak,18409
razviti,18354
nikola,18270
uvek,18245
kompanija,18215
14.,18189
širok,18170
2013.,18169
vojnik,18126
statistika,18113
dužina,18111
2009.,18093
kalifornija,18050
17.,18038
profesor,18007
16,17995
malen,17977
11.,17976
fudbalski,17976
sastojati,17971
verzija,17971
16.,17964
tu,17920
oba,17856
50,17822
dobijati,17798
...,17788
trka,17770
model,17753
ja,17745
13,17728
situacija,17720
ulica,17653
donji,17642
započeti,17626
park,17612
naučan,17573
sud,17543
biblioteka,17518
armija,17468
sličan,17440
hrvatski,17432
ugovor,17401
aerodrom,17375
bati,17353
petar,17337
element,17327
odigrati,17326
2007.,17278
sada,17239
osim,17233
izdanje,17228
smestiti,17212
gol,17182
odluka,17173
teorija,17171
postići,17165
donja,17156
operacija,17152
odnositi,17147
13.,17125
proglasiti,17117
geografski,17116
zagreb,17105
regionalan,17102
биографија,17082
vrlo,17057
14,17021
služba,17004
italijanski,16985
četvrti,16959
mjest,16955
uspeh,16947
javan,16894
značiti,16888
otvoren,16862
časopis,16855
mičoakan,16773
gerero,16747
ljudski,16680
milan,16532
pred,16489
sarajevo,16474
turski,16461
satelit,16458
lik,16448
18,16444
sedište,16438
izgraditi,16378
studija,16373
ostatak,16372
rod,16354
počinjati,16330
podeliti,16328
pozorište,16326
dom,16321
poput,16309
potreban,16283
autor,16245
niš,16237
у,16182
dete,16145
jedinjenje,16141
dr,16124
proizvod,16077
glumac,16074
brat,16071
moguć,16054
služiti,16045
ćelija,15985
40,15933
domaćinstvo,15909
kolonija,15905
događaj,15871
klasa,15866
kraljevina,15803
1941.,15797
jak,15766
ratni,15763
brigada,15756
materijal,15746
2015.,15707
društven,15698
li,15659
otvoriti,15655
reći,15637
želeti,15622
objašnjenje,15586
struktura,15542
opštinski,15536
odbrana,15527
akademija,15499
a.,15491
2016.,15489
tekst,15470
mera,15467
tek,15459
napustiti,15455
ukupno,15450
gvanahuato,15436
tačka,15400
pobediti,15372
neb,15328
zauzeti,15315
aktivnost,15303
ženski,15282
festival,15264
beogradski,15254
stepen,15250
17,15242
hemijski,15220
turnir,15157
maksimalan,15155
knez,15155
21.,15145
savremen,15136
pozicija,15108
25,15073
london,15035
obuhvatati,15022
preći,14999
filmski,14965
reakcija,14937
sukob,14927
istok,14926
znati,14888
pratiti,14888
brzina,14873
potreba,14858
komandant,14853
vrh,14850
fajl,14799
par,14788
posvetiti,14779
izvršiti,14764
2017.,14764
energija,14704
značaj,14651
javljati,14635
atom,14557
tamaulipas,14552
ubrzo,14533
prostirati,14530
2004.,14490
stil,14441
pad,14424
kanal,14414
šest,14411
lokacija,14404
huan,14397
ruka,14389
mogućnost,14368
sila,14359
leon,14355
naredan,14345
davati,14296
ideja,14295
lice,14276
mi,14275
c,14274
informacija,14261
sredina,14239
rano,14232
faza,14216
epizoda,14194
pisac,14190
nazvati,14155
pojaviti,14098
ko,14096
predmet,14091
more,14085
bog,14077
doneti,14024
nešto,14012
interaktivan,14007
ustanak,14000
idalgo,13972
skup,13932
amerika,13932
index,13915
sever,13908
unutrašnji,13890
računar,13888
organizovati,13859
strazbur,13828
izgradnja,13818
pritisak,13807
trajati,13788
19,13781
ekonomski,13779
aleksandar,13776
vršiti,13754
bend,13748
pokazati,13731
vremenski,13728
glas,13710
blizina,13698
priroda,13693
zato,13684
mreža,13658
književnost,13652
kontrola,13643
2003.,13641
jug,13630
orbita,13622
šuma,13597
revised,13595
motor,13555
temperatura,13540
turčin,13516
mesjeov,13506
pojas,13499
deklinacija,13492
pronaći,13491
wolfgang,13460
povezati,13458
seoski,13455
poslati,13455
prilikom,13452
naseljenost,13442
stanište,13431
molekulski,13426
hram,13401
&,13399
organski,13395
zapad,13388
b,13360
27.,13356
bih,13346
ući,13342
odlučiti,13341
zvati,13327
grčka,13324
rejon,13323
ministar,13309
informacioni,13304
ukupan,13297
2001.,13285
tražiti,13279
moderan,13277
cds,13273
strazburški,13258
tv,13252
izgubiti,13250
steinicke,13247
60,13184
glava,13153
ispod,13148
kraljevstvo,13147
+,13139
zajednički,13139
leto,13124
stanica,13114
indeks,13070
stefan,13069
izvesti,13051
ostvariti,13050
polovina,13038
familija,13027
stvar,13017
metod,12997
rektascenzija,12983
izdati,12967
španija,12965
naš,12943
iii,12932
25.,12891
galaksija,12872
ujedinjen,12848
otići,12845
podrška,12818
količina,12818
pokrajina,12799
književan,12796
komanda,12781
minimalan,12773
kamen,12745
primena,12735
mir,12725
potosi,12706
planeta,12703
odbor,12694
udruženje,12652
подаци,12646
stvoriti,12623
prividan,12621
biljka,12609
satelitski,12599
obzir,12583
22.,12579
rumunski,12561
sredstvo,12559
sat,12542
meč,12539
24,12527
pariz,12524
komitet,12505
prihvatiti,12505
razlog,12491
predstavnik,12482
bilo,12459
pojava,12446
hose,12436
radnik,12425
federacija,12421
skoro,12414
iznad,12401
fudbaler,12379
održavati,12349
durango,12347
posledica,12346
g.,12336
potpuno,12336
aktivan,12327
umetnički,12319
vilja,12310
vladavina,12309
ići,12309
2018.,12301
šifra,12291
savet,12236
prefektura,12234
dolina,12206
akcija,12200
odmah,12188
most,12181
japan,12169
21,12153
28.,12148
22,12136
tvrditi,12099
preuzeti,12099
hrana,12094
gimnazija,12079
popularan,12074
zadatak,12067
potpisati,12053
sjedinjen,12030
nastupati,12026
24.,12008
španski,11981
učesnik,11954
bolnica,11934
partizan,11900
23.,11890
džon,11881
200,11878
rim,11855
ivan,11845
fotografski,11835
poticati,11831
obrazovanje,11824
prikazati,11821
ličan,11819
brzo,11812
sporazum,11799
uticati,11782
umesto,11779
onda,11765
uprava,11756
kiselina,11724
26.,11693
],11665
deliti,11663
fizički,11656
fk,11645
0,11638
prethodan,11635
ugljenik,11622
levi,11621
trenutno,11617
njujork,11609
kosovo,11604
sv.,11598
borac,11590
termin,11587
географски,11585
for,11578
bogat,11563
23,11545
okolina,11540
j.,11537
vid,11534
takmičiti,11517
pravilo,11515
zona,11512
heroj,11512
tema,11511
stvaranje,11491
internet,11488
van,11486
glumica,11479
disciplina,11469
držati,11456
puebla,11449
atletika,11442
poljska,11439
engleska,11430
profil,11429
ags,11417
prisutan,11415
naročito,11401
kommon,11397
kolo,11396
rekord,11392
učenik,11388
češka,11386
ljubav,11382
?,11377
30.,11352
krilo,11347
krug,11321
odred,11316
kazati,11304
[,11301
prav,11288
prijatelj,11262
bugarska,11243
pravni,11242
životinja,11232
gotovo,11207
sava,11167
čest,11139
zid,11121
marko,11116
oružje,11101
crkven,11091
sonor,11075
provesti,11075
tadašnji,11074
delovati,11057
демографски,11053
peti,11050
odeljenje,11040
kina,11020
austrija,11001
povući,11001
v,10994
bataljon,10993
29.,10992
menjati,10988
dinastija,10987
medicinski,10986
kraljevski,10982
каријера,10949
udaljenost,10948
rok,10948
projekt,10947
tj.,10947
stadion,10943
sportski,10938
širom,10927
dvorana,10914
1980.,10911
pojavljivati,10909
muški,10894
saradnja,10893
vojvoda,10868
navoditi,10849
izazvati,10830
novac,10826
2006,10822
uništiti,10820
osnova,10788
1992.,10785
mada,10783
sloboda,10768
japanski,10762
skok,10760
verovati,10752
iza,10750
građanski,10744
direktor,10743
2010,10730
znak,10720
desni,10719
scena,10714
razlikovati,10700
grb,10674
rio,10669
2011,10662
domaći,10632
pismo,10612
prilika,10601
predstaviti,10595
vizantijski,10595
snimiti,10579
čin,10577
trener,10575
građanin,10548
kretati,10546
forma,10536
*,10535
organ,10512
teren,10508
nastajati,10495
sedam,10489
zahtevati,10488
pojedini,10483
2000,10465
orden,10450
1999.,10413
2007,10401
d.,10400
tehnika,10398
pobednik,10387
vladar,10372
koordinat,10361
pogled,10360
promeniti,10355
ovde,10338
receptor,10338
usled,10335
logor,10320
2008,10297
mađarska,10289
detaljan,10283
poraz,10276
2005,10270
ministarstvo,10269
opisati,10266
krenuti,10250
utvrditi,10238
zameniti,10234
2019.,10185
afrika,10182
nezavisan,10181
pominjati,10174
predstava,10170
lečenje,10165
vođa,10158
front,10153
uvesti,10153
starost,10152
radni,10147
2009,10146
omogućavati,10136
tabela,10134
vladimir,10130
1995.,10123
umetnik,10122
kategorija,10101
pripadnik,10093
etnički,10086
br.,10085
by,10065
protein,10053
brz,10050
pgc,10046
stvarati,10039
jpl,10038
nedelja,10035
profesionalan,10020
klima,10011
definisati,10007
industrija,9999
boriti,9989
sinalo,9988
sunac,9988
pristup,9978
primiti,9975
osnivanje,9964
napasti,9958
ponekad,9956
x,9950
slovenija,9949
komunistički,9943
kanada,9933
sport,9909
unutar,9898
nformula,9888
pomoći,9886
čitav,9886
uspešan,9870
kasan,9869
korišćenje,9850
fudbal,9831
hiljada,9825
kilometar,9819
singl,9818
partizanski,9812
ćerka,9801
dr.,9782
dušan,9781
student,9772
400,9758
n,9749
sestra,9743
ličnost,9734
vojvodina,9707
lek,9702
pokazivati,9701
štab,9700
sadržaj,9700
2012,9700
miloš,9699
nemac,9669
pasti,9667
životan,9663
!,9660
steći,9651
električan,9650
poginuti,9649
zastava,9648
kilometraža,9644
pokušati,9642
pun,9634
d,9634
pokušaj,9627
gubitak,9621
jovanović,9618
bugarski,9617
prvak,9615
zapis,9595
tamo,9589
zahvaljivati,9570
izložba,9552
r.,9544
razvijati,9534
tvrđava,9528
npr.,9526
1944.,9525
banja,9511
podići,9494
pojam,9487
poen,9478
v.,9467
dosta,9459
provincija,9447
kineski,9444
vazduh,9442
press,9428
2004,9425
trenutak,9422
deset,9421
osnivač,9420
popović,9416
medicina,9395
1998.,9387
zahtev,9386
pružati,9382
faktor,9380
smisao,9379
australija,9379
socijalan,9371
tradicionalan,9368
vrhovni,9364
školski,9363
obavljati,9337
galerija,9325
karakteristika,9323
itd.,9295
1942.,9282
šampion,9271
zakatekas,9260
verovatno,9259
završetak,9225
vraćati,9220
brak,9217
austrijski,9215
26,9214
27,9207
zabeležiti,9204
takmičar,9196
sazvežđe,9185
simbol,9166
odlaziti,9164
revolucija,9158
vezan,9142
uprkos,9139
lekar,9135
čelo,9132
omogućiti,9129
populacija,9118
sekretar,9110
povratak,9091
teško,9089
rešenje,9084
odbiti,9073
radi,9072
university,9068
noć,9062
osmanski,9062
tehnologija,9058
dolar,9056
dužnost,9053
princip,9049
tradicija,9044
županija,9034
supruga,9028
petrović,9028
