Sentence,Word,Lemma,Word Frequency,Log Probability
0,još,još,79420,-7.325636299491323
0,malo,malo,46780,-7.854930764038395
0,pa,pa,54554,-7.701195488380926
0,će,hteti,80522,-7.31185608618188
0,izbori,izbor,25014,-8.480950857067713
1,naoblačilo,naoblačiti,1,-18.608141804176565
1,se,sebe,1544095,-4.358193268005097
1,kao,kao,404124,-5.698664763633798
1,da,da,836448,-4.971222170477442
1,će,hteti,80522,-7.31185608618188
1,padati,padati,3539,-10.436542323831102
1,kiša,kiša,2883,-10.641555106538163
2,naša,naš,12943,-9.139831423734128
2,kola,kolo,11396,-9.267124108558766
2,su,biti,5835707,-3.028635822432384
2,stara,star,69345,-7.461292479086129
2,10,10,40832,-7.990920437472103
2,godina,godina,1038137,-4.755203485592052
3,otišao,otići,12845,-9.14743189463258
3,je,biti,5835707,-3.028635822432384
3,u,u,4289454,-3.336471794099499
3,inostranstvo,inostranstvo,4915,-10.1080947715953
3,prošle,prošli,3703,-10.391243223262952
3,godine,godina,1038137,-4.755203485592052
3,i,i,2848044,-3.7459988033437006
3,još,još,79420,-7.325636299491323
3,se,sebe,1544095,-4.358193268005097
3,nije,biti,5835707,-3.028635822432384
3,vratio,vratiti,27797,-8.37545842399
4,telefoni,telefon,2831,-10.659756519064665
4,zvone,zvoniti,184,-13.39320604656758
4,po,po,300766,-5.994053971422225
4,ceo,cel,21806,-8.618201363910238
4,dan,dan,79017,-7.330723506004008
4,i,i,2848044,-3.7459988033437006
4,tebe,ti,363,-12.713738969911715
4,traže,tražiti,13279,-9.114202685186237
5,popeću,popeti,1128,-11.57994037211856
5,se,sebe,1544095,-4.358193268005097
5,na,na,1602609,-4.3209983199920226
5,drvo,drvo,8276,-9.587026765311132
5,ako,ako,34617,-8.156041634313787
5,me,ja,17745,-8.824282739095969
5,mama,mama,787,-11.939913555759162
5,ne,ne,120507,-6.908678682664645
5,vidi,videti,27490,-8.386564223017274
6,uvek,uvek,18245,-8.796495455306017
6,se,sebe,1544095,-4.358193268005097
6,setim,setiti,551,-12.29640699502365
6,tebe,ti,363,-12.713738969911715
6,kad,kad,18468,-8.784347020549685
6,čujem,čuti,5143,-10.06274995840165
6,tu,tu,17920,-8.814469117647644
6,pesmu,pesma,54654,-7.6993641202037
7,da,da,836448,-4.971222170477442
7,da,da,836448,-4.971222170477442
7,tako,tako,73104,-7.408503440373512
7,smo,biti,5835707,-3.028635822432384
7,se,sebe,1544095,-4.358193268005097
7,dogovrili,dogovriti,5,-16.998703891742466
8,znam,znati,14888,-8.999831005854478
8,znam,znati,14888,-8.999831005854478
8,pa,pa,54554,-7.701195488380926
8,meni,ja,17745,-8.824282739095969
8,je,biti,5835707,-3.028635822432384
8,100,100,21983,-8.610117097816449
8,puta,puta,1,-18.608141804176565
8,pričao,pričati,1775,-11.12658610226705
9,mirjana,Mirjana,1,-18.608141804176565
9,je,biti,5835707,-3.028635822432384
9,rekla,reći,15637,-8.950746624333055
9,da,da,836448,-4.971222170477442
9,će,hteti,80522,-7.31185608618188
9,se,sebe,1544095,-4.358193268005097
9,uskoro,uskoro,3758,-10.376499624203154
9,vratiti,vratiti,27797,-8.37545842399
10,na,na,1602609,-4.3209983199920226
10,more,more,14085,-9.055276123866092
10,idemo,ići,12309,-9.190055823066269
10,u,u,4289454,-3.336471794099499
10,isto,isto,8032,-9.616952962245055
