File,First Sentence
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_0_MMMD01L__25-02-21-10-30-27_transcript.txt, imamo još četiri minuta vreme polaska voza
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_0_MMMD02L__25-02-21-10-31-13_transcript.txt, sutra ćemo sve raditi ponovo pa šta ispadne
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_0_MMMD03L__25-02-21-10-31-27_transcript.txt, kompjuteri su prodali u sve oblasti i bez njih se ne može
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_0_MMMD04L__25-02-21-10-31-42_transcript.txt, otišao u inostranstvo prošle godine i još se nije vratio
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_0_MMMD05L__25-02-21-10-31-55_transcript.txt, telefoni zvani po ceo dan i tebe traže
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_0_MMMD06L__25-02-21-10-32-07_transcript.txt, popeću se na drvo ako mi mama ne vidi
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_0_MMMD07L__25-02-21-10-32-19_transcript.txt, uvek se setim tebe kad čujem tu pesmu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_0_MMMD08L__25-02-21-10-32-30_transcript.txt, Da da tako smo se dogovorili
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_0_MMMD09L__25-02-21-10-32-40_transcript.txt, znam znam Pa meni je 100 puta pričao
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_0_MMMD10L__25-02-21-10-32-52_transcript.txt, Miljana je rekla da će se uskoro vratiti
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_0_MMMD11L__25-02-21-10-33-03_transcript.txt, ne mora idem u isto mesto kao i prošle godine
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_0_MMMD12L__25-02-21-10-33-15_transcript.txt, napravićemo imati preko 50 gostiju
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_0_MMMD13L__25-02-21-10-33-32_transcript.txt, raspitaću se pa ću ti javiti
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_0_MMMD14L__25-02-21-10-33-42_transcript.txt, oblačila se Kada će padati kiša
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_0_MMMD15L__25-02-21-10-34-08_transcript.txt, sećam se kad je ulicom Kneza Miloša saobraćao tramvaj
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_0_MMMD16L__25-02-21-10-34-43_transcript.txt, ne mladi najviše uticaj imaju lica sestra de kao i sporta
